unix_time, time_stamp, talker_ID, speed (m/s), angle (deg), status
1676036940, 2023/2/10 13:49:0, $WI,WVP=000.2,261,0*77
1676036941, 2023/2/10 13:49:1, $WI,WVP=000.2,333,0*71
1676036942, 2023/2/10 13:49:2, $WI,WVP=000.1,269,0*7C
1676036943, 2023/2/10 13:49:3, $WI,WVP=000.2,218,0*79
1676036944, 2023/2/10 13:49:4, $WI,WVP=000.4,253,0*70
1676036945, 2023/2/10 13:49:5, $WI,WVP=000.3,296,0*7E
1676036947, 2023/2/10 13:49:7, $WI,WVP=000.1,184,0*7C
1676036948, 2023/2/10 13:49:8, $WI,WVP=000.2,217,0*76
1676036949, 2023/2/10 13:49:9, $WI,WVP=000.2,237,0*74
1676036950, 2023/2/10 13:49:10, $WI,WVP=000.3,284,0*7D
1676036951, 2023/2/10 13:49:11, $WI,WVP=000.4,284,0*7A
1676036952, 2023/2/10 13:49:12, $WI,WVP=000.4,275,0*74
1676036953, 2023/2/10 13:49:13, $WI,WVP=000.5,280,0*7F
1676036955, 2023/2/10 13:49:15, $WI,WVP=000.3,266,0*71
1676036956, 2023/2/10 13:49:16, $WI,WVP=000.2,275,0*72
1676036957, 2023/2/10 13:49:17, $WI,WVP=000.1,324,0*74
1676036958, 2023/2/10 13:49:18, $WI,WVP=000.3,277,0*71
1676036959, 2023/2/10 13:49:19, $WI,WVP=000.2,226,0*74
1676036960, 2023/2/10 13:49:20, $WI,WVP=000.3,204,0*75
1676036961, 2023/2/10 13:49:21, $WI,WVP=000.2,212,0*73
1676036963, 2023/2/10 13:49:23, $WI,WVP=000.2,215,0*74
1676036964, 2023/2/10 13:49:24, $WI,WVP=000.4,251,0*72
1676036965, 2023/2/10 13:49:25, $WI,WVP=000.2,266,0*70
1676036966, 2023/2/10 13:49:26, $WI,WVP=000.2,265,0*73
1676036967, 2023/2/10 13:49:27, $WI,WVP=002.0,285,0*7D
1676036968, 2023/2/10 13:49:28, $WI,WVP=002.0,313,0*73
1676036969, 2023/2/10 13:49:29, $WI,WVP=002.4,341,0*70
1676036970, 2023/2/10 13:49:30, $WI,WVP=002.3,12,0*72
1676036972, 2023/2/10 13:49:32, $WI,WVP=001.7,327,0*70
1676036973, 2023/2/10 13:49:33, $WI,WVP=001.4,287,0*78
1676036974, 2023/2/10 13:49:34, $WI,WVP=000.4,238,0*7D
1676036975, 2023/2/10 13:49:35, $WI,WVP=000.3,224,0*77
1676036976, 2023/2/10 13:49:36, $WI,WVP=000.1,234,0*74
1676036977, 2023/2/10 13:49:37, $WI,WVP=000.2,243,0*77
